"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"485","RT @news18dotcom: #YogaDay2019: Paw-some Yoga? Army dog unit also takes part in International Yoga day!

<U+0001F4F8>: @SpokespersonMoD

Follow: https…",FALSE,0,NA,2019-06-23 18:04:18,FALSE,NA,"1142855918872174597",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ramankk92",71,TRUE,FALSE,NA,NA
"486","Yoga Day Poster || World International Yoga Day || Poster Making Competition https://t.co/ObBkwF2Tol https://t.co/90TOjqyfXy",FALSE,0,NA,2019-06-23 18:03:28,FALSE,NA,"1142855709350084608",NA,"<a href=""https://sortiwa.com/"" rel=""nofollow"">Sortiwa News</a>","Sortiwa",0,FALSE,FALSE,NA,NA
"487","Yoga enthusiasts participated with fervor and energy at the 5th International Day of Yoga in Oslo.  Here are some g… https://t.co/OxRjoowkJg",FALSE,4,NA,2019-06-23 18:01:35,TRUE,NA,"1142855231216246784",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","IndiainNorway",0,FALSE,FALSE,NA,NA
"488","RT @tsheringtobgay: With Tashi, celebrating International Day of Yoga with some simple asanas. Many thanks to @nwccbhutan and Yoga Guru KVS…",FALSE,0,NA,2019-06-23 18:01:30,FALSE,NA,"1142855211494461440",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AjithSRanga",1665,TRUE,FALSE,NA,NA
"489","@ShashiTharoor @narendramodi Unfortunately Nehru kept this only for himself but Namo made a International Yoga day… https://t.co/YQRK0QW7kZ",FALSE,1,"ShashiTharoor",2019-06-23 17:59:43,TRUE,"1142138113294127104","1142854764327100416","24705126","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SpritLal",0,FALSE,FALSE,NA,NA
"490","RT @indemtel: #I24news news coverage of International Day of #Yoga celebrations in #TelAviv https://t.co/ywp1yxbVWp",FALSE,0,NA,2019-06-23 17:59:24,FALSE,NA,"1142854683834425347",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TsheringWSherpa",4,TRUE,FALSE,NA,NA
"491","RT @tsheringtobgay: With Tashi, celebrating International Day of Yoga with some simple asanas. Many thanks to @nwccbhutan and Yoga Guru KVS…",FALSE,0,NA,2019-06-23 17:59:17,FALSE,NA,"1142854655182946304",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","suketutalekar",1665,TRUE,FALSE,NA,NA
"492","RT @SDMDaskroi: Fifth International Yoga Day celebration at #amdavad in presence of Hon. Governor and Hon. C.M. @vijayrupanibjp Gujarat.  @…",FALSE,0,NA,2019-06-23 17:58:30,FALSE,NA,"1142854455710191616",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Anand41627939",8,TRUE,FALSE,NA,NA
"493","RT @tsheringtobgay: With Tashi, celebrating International Day of Yoga with some simple asanas. Many thanks to @nwccbhutan and Yoga Guru KVS…",FALSE,0,NA,2019-06-23 17:57:28,FALSE,NA,"1142854197856964608",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kaushykkaushyk",1665,TRUE,FALSE,NA,NA
"494","RT @tsheringtobgay: With Tashi, celebrating International Day of Yoga with some simple asanas. Many thanks to @nwccbhutan and Yoga Guru KVS…",FALSE,0,NA,2019-06-23 17:57:14,FALSE,NA,"1142854139304484864",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","abhayjere",1665,TRUE,FALSE,NA,NA
"495","RT @RohitPawarSpeak: A healthy mind stays in a healthy body and both of these are together possible with yoga…
On the occasion of Internati…",FALSE,0,NA,2019-06-23 17:56:46,FALSE,NA,"1142854022144991232",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DeepakP02710431",8,TRUE,FALSE,NA,NA
"496","RT @IndiainNewYork: International Yoga Day at Times Square, what a feeling..., one can feel the positive energy in this magical square #Yog…",FALSE,0,NA,2019-06-23 17:56:17,FALSE,NA,"1142853898194976768",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SriNiwasBJP",823,TRUE,FALSE,NA,NA
"497","Yoga for all and all for yoga: PM Modi on International Day of Yoga
https://t.co/0838aEeB8q

via NaMo App https://t.co/NU4M6mtlWy",FALSE,0,NA,2019-06-23 17:55:45,FALSE,NA,"1142853763843022848",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vijuinnaite",0,FALSE,FALSE,NA,NA
"498","RT @SDMDaskroi: Fifth International Yoga Day celebration at #amdavad in presence of Hon. Governor and Hon. C.M. @vijayrupanibjp Gujarat.  @…",FALSE,0,NA,2019-06-23 17:55:39,FALSE,NA,"1142853741411852288",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RemyaMohanIAS",8,TRUE,FALSE,NA,NA
"499","International Yoga Day 2019: From base of Mt Everest to Earth's lowest elevation at Dead Sea, celebrations in full… https://t.co/GUWXRqXOr9",FALSE,0,NA,2019-06-23 17:55:16,TRUE,NA,"1142853641658761216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vijuinnaite",0,FALSE,FALSE,NA,NA
"500","""Yoga is powerful vehicle for change  as you build. Strength you start to believe in your own potencial.""# Internat… https://t.co/qppwrmbcFO",FALSE,0,NA,2019-06-23 17:54:32,TRUE,NA,"1142853459286167552",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bhoomik69519838",0,FALSE,FALSE,NA,NA
"501","RT @tsheringtobgay: With Tashi, celebrating International Day of Yoga with some simple asanas. Many thanks to @nwccbhutan and Yoga Guru KVS…",FALSE,0,NA,2019-06-23 17:53:55,FALSE,NA,"1142853304843587584",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","prabhatocean",1665,TRUE,FALSE,NA,NA
"502","RT @shriprakashdham: Online satsang by Shri Prakash Ji on International Day of Yoga will be held on Saturday, June 22, 1:30 pm (Moscow time…",FALSE,0,NA,2019-06-23 17:53:50,FALSE,NA,"1142853283935133696",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ktoeto13",68,TRUE,FALSE,NA,NA
"503","RT @eyehinakhan: Happy International Yoga Day <U+0001F9D8><U+200D><U+2642><U+FE0F> https://t.co/IRVpwzQM8F",FALSE,0,NA,2019-06-23 17:52:03,FALSE,NA,"1142852833328320512",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Aishaa_tweets",321,TRUE,FALSE,NA,NA
"504","RT @tsheringtobgay: With Tashi, celebrating International Day of Yoga with some simple asanas. Many thanks to @nwccbhutan and Yoga Guru KVS…",FALSE,0,NA,2019-06-23 17:51:54,FALSE,NA,"1142852795466280960",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NikhilPhadke18",1665,TRUE,FALSE,NA,NA
"505","RT @BJP4India: LIVE: PM @narendramodi leads 5th International Yoga Day Celebrations in Ranchi, Jharkhand. #YogaDay2019 https://t.co/7bHZPDV…",FALSE,0,NA,2019-06-23 17:51:34,FALSE,NA,"1142852713601892352",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MaheshDange14",409,TRUE,FALSE,NA,NA
"506","RT @tsheringtobgay: With Tashi, celebrating International Day of Yoga with some simple asanas. Many thanks to @nwccbhutan and Yoga Guru KVS…",FALSE,0,NA,2019-06-23 17:49:43,FALSE,NA,"1142852247425937409",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ankur_tiwari2",1665,TRUE,FALSE,NA,NA
"507","Over 400 Indians, Nigerians celebrate International Day of Yoga in Lagos - https://t.co/Tyqe3lMogu",FALSE,0,NA,2019-06-23 17:48:41,FALSE,NA,"1142851988457046016",NA,"<a href=""http://www.theeagleonline.com.ng/news"" rel=""nofollow"">Dotun Oladipo</a>","oladotun1969",0,FALSE,FALSE,NA,NA
"508","Over 400 Indians, Nigerians celebrate International Day of Yoga in Lagos - https://t.co/XZmsp1Y7Ck - The Eagle Onli… https://t.co/kwa6kHCVWO",FALSE,0,NA,2019-06-23 17:48:41,TRUE,NA,"1142851985068023808",NA,"<a href=""http://theeagleonline.com.ng"" rel=""nofollow"">The Eagle Online</a>","DEagleOnline",0,FALSE,FALSE,NA,NA
"509","RT @Love_MrsMommy: #GIVEAWAY! #WIN a $20 #Etsy Shop Credit from the #Drawing Board Shop! Hand-painted &amp;amp; beautifully crafted #cards for…",FALSE,0,NA,2019-06-23 17:48:39,FALSE,NA,"1142851980534190080",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","hicksfan7",18,TRUE,FALSE,NA,NA
"510","RT @IndiainSpain: 5th International Day of Yoga 2019 begins at the iconic Templo de Debod #Madrid !                                       #…",FALSE,0,NA,2019-06-23 17:48:15,FALSE,NA,"1142851879430492160",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yogafranananda",16,TRUE,FALSE,NA,NA
